Date,Product,Actual_Sales,Sales_Target
2024-01-01,Shampoo,152,268
2024-01-02,Shampoo,485,260
2024-01-03,Shampoo,398,167
2024-01-04,Shampoo,320,388
2024-01-05,Shampoo,156,376
2024-01-06,Shampoo,121,403
2024-01-07,Shampoo,238,234
2024-01-08,Shampoo,70,294
2024-01-09,Shampoo,152,227
2024-01-10,Shampoo,171,132
2024-01-11,Shampoo,264,275
2024-01-12,Shampoo,380,121
2024-01-13,Shampoo,137,337
2024-01-14,Shampoo,422,257
2024-01-15,Shampoo,149,137
2024-01-16,Shampoo,409,329
2024-01-17,Shampoo,201,150
2024-01-18,Shampoo,180,363
2024-01-19,Shampoo,199,382
2024-01-20,Shampoo,358,126
2024-01-21,Shampoo,307,325
2024-01-22,Shampoo,393,376
2024-01-23,Shampoo,463,385
2024-01-24,Shampoo,343,196
2024-01-25,Shampoo,435,383
2024-01-26,Shampoo,241,416
2024-01-27,Shampoo,493,403
2024-01-28,Shampoo,326,246
2024-01-29,Shampoo,210,103
2024-01-30,Shampoo,363,134
2024-01-31,Shampoo,71,291
2024-02-01,Shampoo,302,148
2024-02-02,Shampoo,285,116
2024-02-03,Shampoo,394,271
2024-02-04,Shampoo,98,319
2024-02-05,Shampoo,108,257
2024-02-06,Shampoo,219,145
2024-02-07,Shampoo,237,105
2024-02-08,Shampoo,320,198
2024-02-09,Shampoo,239,332
2024-02-10,Shampoo,495,136
2024-02-11,Shampoo,224,379
2024-02-12,Shampoo,495,448
2024-02-13,Shampoo,100,401
2024-02-14,Shampoo,413,280
2024-02-15,Shampoo,104,194
2024-02-16,Shampoo,293,198
2024-02-17,Shampoo,369,287
2024-02-18,Shampoo,180,215
2024-02-19,Shampoo,356,290
2024-02-20,Shampoo,184,352
2024-02-21,Shampoo,70,260
2024-02-22,Shampoo,378,355
2024-02-23,Shampoo,216,422
2024-02-24,Shampoo,323,227
2024-02-25,Shampoo,437,117
2024-02-26,Shampoo,138,380
2024-02-27,Shampoo,365,322
2024-02-28,Shampoo,63,153
2024-02-29,Shampoo,291,157
2024-03-01,Shampoo,314,422
2024-03-02,Shampoo,395,273
2024-03-03,Shampoo,102,379
2024-03-04,Shampoo,435,213
2024-03-05,Shampoo,389,387
2024-03-06,Shampoo,141,441
2024-03-07,Shampoo,416,250
2024-03-08,Shampoo,493,226
2024-03-09,Shampoo,477,254
2024-03-10,Shampoo,313,372
2024-03-11,Shampoo,480,203
2024-03-12,Shampoo,84,398
2024-03-13,Shampoo,255,345
2024-03-14,Shampoo,130,275
2024-03-15,Shampoo,469,138
2024-03-16,Shampoo,99,269
2024-03-17,Shampoo,409,346
2024-03-18,Shampoo,437,125
2024-03-19,Shampoo,51,405
2024-03-20,Shampoo,439,112
2024-03-21,Shampoo,103,415
2024-03-22,Shampoo,155,412
2024-03-23,Shampoo,309,135
2024-03-24,Shampoo,359,272
2024-03-25,Shampoo,240,119
2024-03-26,Shampoo,451,420
2024-03-27,Shampoo,267,363
2024-03-28,Shampoo,93,241
2024-03-29,Shampoo,211,242
2024-03-30,Shampoo,251,191
2024-03-31,Shampoo,495,421
2024-01-01,Conditioner,319,387
2024-01-02,Conditioner,400,314
2024-01-03,Conditioner,353,441
2024-01-04,Conditioner,320,150
2024-01-05,Conditioner,264,252
2024-01-06,Conditioner,301,285
2024-01-07,Conditioner,239,162
2024-01-08,Conditioner,345,289
2024-01-09,Conditioner,262,224
2024-01-10,Conditioner,257,249
2024-01-11,Conditioner,286,413
2024-01-12,Conditioner,387,157
2024-01-13,Conditioner,416,441
2024-01-14,Conditioner,102,404
2024-01-15,Conditioner,329,279
2024-01-16,Conditioner,459,269
2024-01-17,Conditioner,266,425
2024-01-18,Conditioner,301,370
2024-01-19,Conditioner,237,153
2024-01-20,Conditioner,429,200
2024-01-21,Conditioner,90,363
2024-01-22,Conditioner,206,152
2024-01-23,Conditioner,64,159
2024-01-24,Conditioner,350,207
2024-01-25,Conditioner,114,104
2024-01-26,Conditioner,394,202
2024-01-27,Conditioner,376,295
2024-01-28,Conditioner,58,361
2024-01-29,Conditioner,393,449
2024-01-30,Conditioner,178,146
2024-01-31,Conditioner,185,410
2024-02-01,Conditioner,112,407
2024-02-02,Conditioner,188,243
2024-02-03,Conditioner,130,368
2024-02-04,Conditioner,441,223
2024-02-05,Conditioner,212,205
2024-02-06,Conditioner,468,257
2024-02-07,Conditioner,338,246
2024-02-08,Conditioner,428,244
2024-02-09,Conditioner,310,219
2024-02-10,Conditioner,280,418
2024-02-11,Conditioner,90,374
2024-02-12,Conditioner,77,191
2024-02-13,Conditioner,184,157
2024-02-14,Conditioner,250,445
