Month,Product,Sales
1/31/2022,Winter Jackets,294
1/31/2022,Spring Dresses,44
1/31/2022,Summer Shorts,51
1/31/2022,Autumn Sweaters,72
2/28/2022,Winter Jackets,319
2/28/2022,Spring Dresses,33
2/28/2022,Summer Shorts,55
2/28/2022,Autumn Sweaters,68
3/31/2022,Winter Jackets,52
3/31/2022,Spring Dresses,240
3/31/2022,Summer Shorts,59
3/31/2022,Autumn Sweaters,62
4/30/2022,Winter Jackets,52
4/30/2022,Spring Dresses,255
4/30/2022,Summer Shorts,55
4/30/2022,Autumn Sweaters,75
5/31/2022,Winter Jackets,40
5/31/2022,Spring Dresses,238
5/31/2022,Summer Shorts,56
5/31/2022,Autumn Sweaters,71
6/30/2022,Winter Jackets,64
6/30/2022,Spring Dresses,42
6/30/2022,Summer Shorts,367
6/30/2022,Autumn Sweaters,50
7/31/2022,Winter Jackets,48
7/31/2022,Spring Dresses,47
7/31/2022,Summer Shorts,387
7/31/2022,Autumn Sweaters,59
8/31/2022,Winter Jackets,56
8/31/2022,Spring Dresses,44
8/31/2022,Summer Shorts,417
8/31/2022,Autumn Sweaters,66
9/30/2022,Winter Jackets,59
9/30/2022,Spring Dresses,37
9/30/2022,Summer Shorts,56
9/30/2022,Autumn Sweaters,363
10/31/2022,Winter Jackets,60
10/31/2022,Spring Dresses,31
10/31/2022,Summer Shorts,66
10/31/2022,Autumn Sweaters,366
11/30/2022,Winter Jackets,50
11/30/2022,Spring Dresses,36
11/30/2022,Summer Shorts,72
11/30/2022,Autumn Sweaters,345
12/31/2022,Winter Jackets,285
12/31/2022,Spring Dresses,36
12/31/2022,Summer Shorts,74
12/31/2022,Autumn Sweaters,73
1/31/2023,Winter Jackets,317
1/31/2023,Spring Dresses,49
1/31/2023,Summer Shorts,56
1/31/2023,Autumn Sweaters,63
2/28/2023,Winter Jackets,318
2/28/2023,Spring Dresses,38
2/28/2023,Summer Shorts,49
2/28/2023,Autumn Sweaters,87
3/31/2023,Winter Jackets,50
3/31/2023,Spring Dresses,244
3/31/2023,Summer Shorts,81
3/31/2023,Autumn Sweaters,70
4/30/2023,Winter Jackets,45
4/30/2023,Spring Dresses,255
4/30/2023,Summer Shorts,43
4/30/2023,Autumn Sweaters,83
5/31/2023,Winter Jackets,41
5/31/2023,Spring Dresses,258
5/31/2023,Summer Shorts,54
5/31/2023,Autumn Sweaters,67
6/30/2023,Winter Jackets,53
6/30/2023,Spring Dresses,30
6/30/2023,Summer Shorts,389
6/30/2023,Autumn Sweaters,74
7/31/2023,Winter Jackets,50
7/31/2023,Spring Dresses,43
7/31/2023,Summer Shorts,411
7/31/2023,Autumn Sweaters,86
8/31/2023,Winter Jackets,47
8/31/2023,Spring Dresses,51
8/31/2023,Summer Shorts,385
8/31/2023,Autumn Sweaters,79
9/30/2023,Winter Jackets,51
9/30/2023,Spring Dresses,50
9/30/2023,Summer Shorts,56
9/30/2023,Autumn Sweaters,363
10/31/2023,Winter Jackets,60
10/31/2023,Spring Dresses,43
10/31/2023,Summer Shorts,62
10/31/2023,Autumn Sweaters,322
11/30/2023,Winter Jackets,51
11/30/2023,Spring Dresses,43
11/30/2023,Summer Shorts,65
11/30/2023,Autumn Sweaters,340
12/31/2023,Winter Jackets,308
12/31/2023,Spring Dresses,43
12/31/2023,Summer Shorts,48
12/31/2023,Autumn Sweaters,64
1/31/2023,Autumn Sweaters,63
12/31/2023,Winter Jackets,308
4/30/2022,Summer Shorts,55
6/30/2023,Autumn Sweaters,74
4/30/2023,Winter Jackets,45
6/30/2022,Winter Jackets,64
9/30/2023,Summer Shorts,56
10/31/2023,Summer Shorts,62
7/31/2023,Summer Shorts,411
7/31/2023,Summer Shorts,411
10/31/2023,Autumn Sweaters,322
6/30/2022,Autumn Sweaters,50
1/31/2022,Summer Shorts,51
6/30/2022,Spring Dresses,42
2/28/2023,Winter Jackets,318
1/31/2022,Spring Dresses,44
10/31/2023,Autumn Sweaters,322
8/31/2022,Spring Dresses,44
10/31/2022,Spring Dresses,31
1/31/2022,Spring Dresses,44
4/30/2023,Autumn Sweaters,83
3/31/2023,Autumn Sweaters,70
6/30/2022,Winter Jackets,64
9/30/2022,Winter Jackets,59
7/31/2023,Autumn Sweaters,86
3/31/2023,Spring Dresses,244
6/30/2022,Spring Dresses,42
11/30/2023,Winter Jackets,51
1/31/2023,Winter Jackets,317
11/30/2023,Summer Shorts,65
3/31/2023,Summer Shorts,81
11/30/2022,Spring Dresses,36
11/30/2023,Autumn Sweaters,340
3/31/2023,Autumn Sweaters,70
8/31/2023,Autumn Sweaters,79
4/30/2022,Summer Shorts,55
4/30/2023,Spring Dresses,255
4/30/2023,Spring Dresses,255
12/31/2022,Summer Shorts,74
4/30/2023,Spring Dresses,255
1/31/2023,Summer Shorts,56
2/28/2023,Summer Shorts,49
4/30/2023,Autumn Sweaters,83
1/31/2022,Summer Shorts,51
1/31/2023,Summer Shorts,56
2/28/2022,Summer Shorts,55
6/30/2022,Winter Jackets,64
7/31/2023,Winter Jackets,50
10/31/2022,Summer Shorts,66
5/31/2022,Spring Dresses,238
1/31/2022,Autumn Sweaters,72
11/30/2023,Winter Jackets,51
3/31/2023,Autumn Sweaters,70
4/30/2022,Spring Dresses,255
3/31/2022,Winter Jackets,52
11/30/2023,Spring Dresses,43
2/28/2023,Winter Jackets,318
1/31/2022,Spring Dresses,44
9/30/2023,Autumn Sweaters,363
11/30/2023,Autumn Sweaters,340
3/31/2023,Autumn Sweaters,70
6/30/2023,Summer Shorts,389
11/30/2022,Autumn Sweaters,345
2/28/2022,Autumn Sweaters,68
12/31/2022,Summer Shorts,74
9/30/2022,Summer Shorts,56
8/31/2023,Spring Dresses,51
9/30/2023,Winter Jackets,51
9/30/2022,Autumn Sweaters,363
1/31/2023,Spring Dresses,49
1/31/2022,Autumn Sweaters,72
1/31/2022,Spring Dresses,44
2/28/2022,Spring Dresses,33
2/28/2023,Spring Dresses,38
1/31/2022,Autumn Sweaters,72
2/28/2023,Spring Dresses,38
12/31/2023,Winter Jackets,308
4/30/2023,Summer Shorts,43
5/31/2022,Spring Dresses,238
11/30/2023,Spring Dresses,43
11/30/2022,Autumn Sweaters,345
9/30/2022,Spring Dresses,37
7/31/2023,Spring Dresses,43
4/30/2023,Spring Dresses,255
4/30/2022,Spring Dresses,255
12/31/2023,Summer Shorts,48
12/31/2022,Autumn Sweaters,73
4/30/2022,Summer Shorts,55
6/30/2023,Autumn Sweaters,74
8/31/2023,Spring Dresses,51
10/31/2023,Summer Shorts,62
4/30/2023,Spring Dresses,255
10/31/2022,Autumn Sweaters,366
10/31/2023,Winter Jackets,60
8/31/2023,Autumn Sweaters,79
9/30/2023,Spring Dresses,50
2/28/2023,Winter Jackets,318
6/30/2022,Autumn Sweaters,50
7/31/2022,Spring Dresses,47
11/30/2023,Winter Jackets,51
3/31/2023,Autumn Sweaters,70
11/30/2022,Winter Jackets,50
8/31/2022,Winter Jackets,56
4/30/2022,Summer Shorts,55
12/31/2022,Winter Jackets,285
5/31/2023,Winter Jackets,41
11/30/2023,Winter Jackets,51
6/30/2023,Summer Shorts,389
3/31/2022,Winter Jackets,52
10/31/2023,Autumn Sweaters,322
1/31/2022,Winter Jackets,294
2/28/2022,Autumn Sweaters,68
10/31/2023,Autumn Sweaters,322
4/30/2023,Summer Shorts,43
3/31/2022,Summer Shorts,59
9/30/2023,Winter Jackets,51
2/28/2022,Autumn Sweaters,68
9/30/2022,Summer Shorts,56
9/30/2022,Summer Shorts,56
9/30/2022,Winter Jackets,59
2/28/2022,Winter Jackets,319
11/30/2022,Winter Jackets,50
7/31/2022,Autumn Sweaters,59
2/28/2022,Summer Shorts,55
7/31/2023,Winter Jackets,50
6/30/2023,Autumn Sweaters,74
3/31/2022,Autumn Sweaters,62
9/30/2022,Spring Dresses,37
9/30/2022,Winter Jackets,59
12/31/2022,Autumn Sweaters,73
6/30/2022,Summer Shorts,367
4/30/2023,Spring Dresses,255
10/31/2023,Autumn Sweaters,322
10/31/2022,Winter Jackets,60
11/30/2022,Autumn Sweaters,345
10/31/2023,Spring Dresses,43
11/30/2023,Summer Shorts,65
9/30/2022,Summer Shorts,56
5/31/2023,Winter Jackets,41
12/31/2022,Summer Shorts,74
8/31/2023,Spring Dresses,51
1/31/2022,Summer Shorts,51
1/31/2022,Winter Jackets,294
2/28/2022,Winter Jackets,319
11/30/2023,Spring Dresses,43
4/30/2022,Spring Dresses,255
7/31/2022,Summer Shorts,387
3/31/2022,Winter Jackets,52
8/31/2023,Summer Shorts,385
4/30/2022,Summer Shorts,55
11/30/2023,Spring Dresses,43
11/30/2022,Spring Dresses,36
8/31/2023,Winter Jackets,47
1/31/2023,Summer Shorts,56
4/30/2023,Summer Shorts,43
12/31/2023,Autumn Sweaters,64
1/31/2023,Autumn Sweaters,63
12/31/2023,Autumn Sweaters,64
1/31/2022,Autumn Sweaters,72
12/31/2023,Spring Dresses,43
6/30/2022,Summer Shorts,367
4/30/2022,Summer Shorts,55
11/30/2022,Summer Shorts,72
8/31/2022,Winter Jackets,56
9/30/2022,Autumn Sweaters,363
4/30/2022,Winter Jackets,52
8/31/2022,Autumn Sweaters,66
6/30/2023,Summer Shorts,389
3/31/2023,Summer Shorts,81
10/31/2023,Spring Dresses,43
7/31/2022,Autumn Sweaters,59
5/31/2023,Spring Dresses,258
11/30/2022,Spring Dresses,36
12/31/2022,Winter Jackets,285
4/30/2023,Spring Dresses,255
3/31/2023,Winter Jackets,50
2/28/2022,Spring Dresses,33
7/31/2022,Autumn Sweaters,59
7/31/2022,Autumn Sweaters,59
11/30/2022,Autumn Sweaters,345
9/30/2023,Autumn Sweaters,363
8/31/2022,Spring Dresses,44
4/30/2023,Spring Dresses,255
7/31/2023,Summer Shorts,411
11/30/2023,Autumn Sweaters,340
11/30/2023,Winter Jackets,51
4/30/2023,Spring Dresses,255
1/31/2022,Winter Jackets,294
7/31/2022,Summer Shorts,387
4/30/2023,Spring Dresses,255
8/31/2023,Winter Jackets,47
1/31/2022,Summer Shorts,51
6/30/2023,Spring Dresses,30
6/30/2023,Autumn Sweaters,74
7/31/2022,Summer Shorts,387
3/31/2022,Winter Jackets,52
4/30/2023,Spring Dresses,255
10/31/2022,Winter Jackets,60
1/31/2023,Summer Shorts,56
11/30/2022,Autumn Sweaters,345
6/30/2022,Autumn Sweaters,50
8/31/2023,Summer Shorts,385
3/31/2023,Summer Shorts,81
8/31/2022,Autumn Sweaters,66
12/31/2023,Autumn Sweaters,64
10/31/2023,Autumn Sweaters,322
1/31/2023,Autumn Sweaters,63
4/30/2023,Spring Dresses,255
3/31/2023,Spring Dresses,244
1/31/2023,Autumn Sweaters,63
3/31/2022,Autumn Sweaters,62
10/31/2022,Summer Shorts,66
1/31/2022,Spring Dresses,44
1/31/2022,Summer Shorts,51
2/28/2023,Autumn Sweaters,87
9/30/2023,Winter Jackets,51
3/31/2023,Summer Shorts,81
1/31/2022,Spring Dresses,44
1/31/2022,Spring Dresses,44
11/30/2023,Autumn Sweaters,340
2/28/2023,Spring Dresses,38
10/31/2023,Summer Shorts,62
12/31/2023,Autumn Sweaters,64
1/31/2022,Winter Jackets,294
5/31/2022,Summer Shorts,56
1/31/2022,Spring Dresses,44
2/28/2023,Winter Jackets,318
11/30/2022,Autumn Sweaters,345
11/30/2023,Spring Dresses,43
8/31/2022,Autumn Sweaters,66
6/30/2023,Spring Dresses,30
8/31/2022,Autumn Sweaters,66
5/31/2023,Autumn Sweaters,67
2/28/2023,Summer Shorts,49
7/31/2023,Summer Shorts,411
2/28/2023,Autumn Sweaters,87
5/31/2022,Winter Jackets,40
10/31/2022,Spring Dresses,31
6/30/2022,Autumn Sweaters,50
6/30/2023,Winter Jackets,53
6/30/2023,Spring Dresses,30
10/31/2023,Spring Dresses,43
3/31/2022,Summer Shorts,59
4/30/2022,Autumn Sweaters,75
7/31/2023,Winter Jackets,50
3/31/2023,Summer Shorts,81
6/30/2023,Spring Dresses,30
8/31/2023,Autumn Sweaters,79
12/31/2023,Winter Jackets,308
1/31/2022,Summer Shorts,51
5/31/2022,Autumn Sweaters,71
3/31/2023,Summer Shorts,81
9/30/2022,Autumn Sweaters,363
5/31/2022,Summer Shorts,56
11/30/2023,Spring Dresses,43
5/31/2023,Summer Shorts,54
5/31/2022,Summer Shorts,56
5/31/2022,Autumn Sweaters,71
12/31/2023,Autumn Sweaters,64
6/30/2023,Summer Shorts,389
1/31/2023,Autumn Sweaters,63
9/30/2022,Winter Jackets,59
10/31/2022,Autumn Sweaters,366
10/31/2022,Summer Shorts,66
9/30/2023,Spring Dresses,50
1/31/2022,Winter Jackets,294
3/31/2022,Summer Shorts,59
11/30/2023,Autumn Sweaters,340
3/31/2023,Winter Jackets,50
11/30/2023,Winter Jackets,51
1/31/2023,Spring Dresses,49
6/30/2022,Summer Shorts,367
8/31/2022,Summer Shorts,417
12/31/2023,Spring Dresses,43
11/30/2022,Spring Dresses,36
2/28/2022,Summer Shorts,55
4/30/2022,Autumn Sweaters,75
11/30/2023,Spring Dresses,43
3/31/2023,Autumn Sweaters,70
1/31/2022,Spring Dresses,44
1/31/2022,Winter Jackets,294
12/31/2022,Autumn Sweaters,73
3/31/2022,Autumn Sweaters,62
6/30/2023,Winter Jackets,53
10/31/2022,Winter Jackets,60
8/31/2022,Autumn Sweaters,66
3/31/2022,Winter Jackets,52
5/31/2022,Summer Shorts,56
12/31/2022,Autumn Sweaters,73
8/31/2023,Autumn Sweaters,79
1/31/2022,Summer Shorts,51
5/31/2022,Autumn Sweaters,71
6/30/2022,Autumn Sweaters,50
2/28/2023,Spring Dresses,38
9/30/2022,Winter Jackets,59
6/30/2022,Autumn Sweaters,50
7/31/2023,Summer Shorts,411
6/30/2023,Autumn Sweaters,74
9/30/2022,Autumn Sweaters,363
10/31/2022,Spring Dresses,31
9/30/2023,Autumn Sweaters,363
11/30/2023,Winter Jackets,51
7/31/2022,Winter Jackets,48
12/31/2023,Winter Jackets,308
5/31/2022,Spring Dresses,238
