Date,Category,Sales,Price,Store
1/1/2023,Athletic,35,54.55,Store_C
1/1/2023,Casual,10,160.76,Store_C
1/1/2023,Seasonal,99,162.35,Store_C
1/1/2023,Formal,14,102.98,Store_A
1/1/2023,Casual,18,60.77,Store_B
1/1/2023,Formal,78,29.67,Store_A
1/1/2023,Athletic,67,104.77,Store_C
1/1/2023,Athletic,53,176.35,Store_C
1/1/2023,Casual,50,192.28,Store_A
1/1/2023,Formal,1,73.5,Store_C
1/1/2023,Athletic,48,94.73,Store_C
1/1/2023,Athletic,67,172.26,Store_D
1/1/2023,Formal,77,176.64,Store_C
1/1/2023,Formal,52,44.73,Store_A
1/1/2023,Seasonal,85,101.19,Store_B
1/1/2023,Formal,17,51.52,Store_C
1/1/2023,Casual,40,166.6,Store_C
1/1/2023,Athletic,54,168.89,Store_B
1/1/2023,Athletic,1,50.14,Store_C
1/1/2023,Seasonal,86,33.53,Store_A
1/1/2023,Athletic,37,69.86,Store_B
1/1/2023,Athletic,87,79.08,Store_D
1/1/2023,Athletic,70,55.4,Store_B
1/1/2023,Formal,29,34.72,Store_C
1/1/2023,Formal,95,67.23,Store_C
1/1/2023,Athletic,53,74.72,Store_C
1/1/2023,Seasonal,88,184.09,Store_A
1/1/2023,Casual,30,25.83,Store_C
1/1/2023,Seasonal,37,28.22,Store_A
1/1/2023,Athletic,13,56.55,Store_B
1/1/2023,Seasonal,6,129.47,Store_B
1/1/2023,Seasonal,99,167.29,Store_A
1/1/2023,Athletic,18,179.42,Store_D
1/1/2023,Athletic,84,113.91,Store_C
1/1/2023,Formal,24,64.24,Store_B
1/1/2023,Athletic,48,140.51,Store_A
1/1/2023,Seasonal,8,147.63,Store_A
1/1/2023,Casual,36,153.33,Store_C
1/1/2023,Seasonal,57,184.56,Store_C
1/1/2023,Formal,55,198.18,Store_B
1/1/2023,Seasonal,16,68.17,Store_A
1/1/2023,Athletic,25,69.64,Store_A
1/1/2023,Seasonal,92,199.8,Store_B
1/1/2023,Formal,83,187.35,Store_D
1/1/2023,Formal,14,61.83,Store_A
1/1/2023,Athletic,61,198.8,Store_C
1/1/2023,Athletic,5,83.65,Store_D
1/1/2023,Athletic,15,146.32,Store_B
1/1/2023,Casual,16,94.36,Store_C
1/1/2023,Seasonal,23,65.91,Store_A
1/1/2023,Formal,19,150.58,Store_B
1/1/2023,Athletic,23,145.04,Store_C
1/1/2023,Athletic,5,35.12,Store_B
1/1/2023,Athletic,66,170.04,Store_B
1/1/2023,Athletic,59,80.05,Store_D
1/1/2023,Seasonal,47,41.79,Store_A
1/1/2023,Athletic,66,109.45,Store_C
1/1/2023,Casual,5,48.37,Store_C
1/1/2023,Casual,64,65.93,Store_C
1/1/2023,Athletic,30,114.81,Store_C
1/1/2023,Athletic,80,164.3,Store_D
1/1/2023,Seasonal,48,185.62,Store_C
1/1/2023,Casual,99,27.17,Store_A
1/1/2023,Seasonal,62,57.79,Store_B
1/1/2023,Seasonal,24,47.58,Store_D
1/1/2023,Casual,11,118.4,Store_A
1/1/2023,Casual,35,178.37,Store_D
1/1/2023,Casual,49,170.88,Store_A
1/1/2023,Seasonal,78,60.86,Store_D
1/1/2023,Casual,9,119.51,Store_C
1/1/2023,Formal,22,135.54,Store_A
1/1/2023,Formal,71,84.34,Store_C
1/1/2023,Casual,25,142.4,Store_D
1/1/2023,Athletic,93,62.44,Store_B
1/1/2023,Athletic,83,141.69,Store_C
1/1/2023,Athletic,69,84.09,Store_D
1/1/2023,Seasonal,63,197.11,Store_C
1/1/2023,Seasonal,98,180.11,Store_B
1/1/2023,Formal,35,118.96,Store_D
1/1/2023,Seasonal,56,67.94,Store_A
1/1/2023,Formal,43,101.14,Store_A
1/1/2023,Seasonal,65,149.17,Store_D
1/2/2023,Seasonal,46,89.78,Store_B
1/2/2023,Athletic,59,147.5,Store_D
1/2/2023,Formal,47,120.8,Store_D
1/2/2023,Formal,75,44.27,Store_A
1/2/2023,Casual,32,36.64,Store_D
1/2/2023,Casual,99,144.73,Store_C
1/2/2023,Seasonal,24,123.06,Store_A
1/2/2023,Casual,15,20.98,Store_A
1/2/2023,Seasonal,78,149.12,Store_A
1/2/2023,Formal,16,23.35,Store_A
1/2/2023,Athletic,88,184.38,Store_C
1/2/2023,Seasonal,86,142.81,Store_B
1/2/2023,Seasonal,61,102.15,Store_A
1/2/2023,Casual,89,141.24,Store_C
1/2/2023,Formal,46,71.37,Store_C
1/2/2023,Formal,12,141.09,Store_B
1/2/2023,Athletic,95,94.2,Store_C
1/2/2023,Formal,4,197.61,Store_D
1/2/2023,Athletic,49,79.87,Store_B
1/2/2023,Casual,34,81.65,Store_C
1/2/2023,Formal,57,122.81,Store_A
1/2/2023,Athletic,91,30.14,Store_C
1/2/2023,Seasonal,99,44.17,Store_C
1/2/2023,Seasonal,47,84.18,Store_B
1/2/2023,Seasonal,75,125.35,Store_A
1/2/2023,Formal,59,148.07,Store_C
1/2/2023,Seasonal,27,70.24,Store_C
1/2/2023,Seasonal,12,196.37,Store_A
1/2/2023,Casual,59,84.04,Store_A
1/2/2023,Seasonal,94,58.11,Store_C
1/2/2023,Athletic,9,124.19,Store_A
1/2/2023,Athletic,38,124.07,Store_D
1/2/2023,Athletic,65,173.31,Store_D
1/2/2023,Seasonal,63,104.63,Store_B
1/2/2023,Formal,87,67.94,Store_B
1/2/2023,Seasonal,29,106.58,Store_D
1/2/2023,Seasonal,40,49.93,Store_A
1/2/2023,Formal,3,69.33,Store_A
1/2/2023,Formal,77,46.07,Store_B
1/2/2023,Seasonal,26,111.2,Store_D
1/2/2023,Athletic,77,120.77,Store_A
1/2/2023,Athletic,87,176.01,Store_A
1/2/2023,Athletic,17,26.25,Store_A
1/2/2023,Casual,7,167.85,Store_A
1/2/2023,Casual,59,192.19,Store_B
1/2/2023,Casual,5,194.68,Store_D
1/2/2023,Casual,38,198.19,Store_B
