Date,Milk_Sales (Gallons),Milk_Forecast (Gallons),Bread_Sales (Loaves),Bread_Forecast (Loaves),Bananas_Sales (Pounds),Bananas_Forecast (Pounds),Chicken_Sales (Pounds),Chicken_Forecast (Pounds),Toilet_Paper_Sales (Packs of 12 Rolls),Toilet_Paper_Forecast (Packs of 12 Rolls)
1/1/2024,200,205,150,155,300,310,180,175,100,105
1/2/2024,195,190,155,150,310,300,175,170,110,115
1/3/2024,198,200,148,150,295,300,190,185,120,125
1/4/2024,202,200,160,160,280,275,185,190,130,135
1/5/2024,199,200,152,150,290,295,170,165,105,100
1/6/2024,210,210,145,145,285,290,160,160,115,110
1/7/2024,215,220,150,155,300,310,150,155,125,120
1/8/2024,220,225,160,165,320,325,180,185,135,130
1/9/2024,205,200,155,150,310,300,175,170,140,135
1/10/2024,198,200,150,155,295,300,190,185,110,115
1/11/2024,202,205,145,150,280,285,185,190,115,110
1/12/2024,200,200,160,160,300,310,170,165,120,125
1/13/2024,195,195,155,150,310,300,160,160,125,120
1/14/2024,198,200,148,150,295,300,150,155,130,125
1/15/2024,202,200,150,150,280,275,180,185,100,105
1/16/2024,199,195,155,155,290,295,175,170,110,115
1/17/2024,210,210,148,150,285,290,190,185,120,125
1/18/2024,215,220,160,160,300,310,185,190,130,135
1/19/2024,220,225,152,150,320,325,170,165,105,100
1/20/2024,205,200,145,145,310,300,160,160,115,110
1/21/2024,198,200,150,155,295,300,150,155,125,120
1/22/2024,202,205,160,165,280,285,180,185,135,130
1/23/2024,200,200,155,150,300,310,175,170,140,135
1/24/2024,195,195,150,155,310,300,190,185,110,115
1/25/2024,198,200,145,150,295,300,185,190,115,110
1/26/2024,202,200,160,160,280,275,170,165,120,125
1/27/2024,199,195,155,150,290,295,160,160,125,120
1/28/2024,210,210,148,150,285,290,150,155,130,125
1/29/2024,215,220,150,150,300,310,180,185,100,105
1/30/2024,220,225,155,155,320,325,175,170,110,115
